Id,Name,CurrencyIsoCode,WOD_2__Description__c,WOD_2__ShortDescription__c,DTAG_Business_Unit__c,DT_Brand__c,DTAG_External_Id__c
a189r0000031L77AAE,21104-NZ,NZD,PM Battery,PM Battery,a0B9r000001UQPVEA4,Freightliner,21104-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L78AAE,21106-NZ,NZD,PM Starter Motor,PM Starter Motor,a0B9r000001UQPVEA4,Freightliner,21106-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L79AAE,21107-NZ,NZD,PM Alternator,PM Alternator,a0B9r000001UQPVEA4,Freightliner,21107-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7AAAU,21108-NZ,NZD,PM PM Uni Joint Kit,PM PM Uni Joint Kit,a0B9r000001UQPVEA4,Freightliner,21108-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7BAAU,21112-NZ,NZD,Freightliner Initial Maintenance,Freightliner Initial Maintenance,a0B9r000001UQPVEA4,Freightliner,21112-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7CAAU,21113-NZ,NZD,Freightliner M1 Service,Freightliner M1 Service,a0B9r000001UQPVEA4,Freightliner,21113-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7DAAU,21666-NZ,NZD,Non Daimler OEM Parts Warranty,Non Daimler OEM Parts Warranty,a0B9r000001UQPVEA4,Freightliner,21666-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7EAAU,21114-NZ,NZD,Freightliner M1 + Engine (Cummins),Freightliner M1 + Engine (Cummins),a0B9r000001UQPVEA4,Freightliner,21114-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7FAAU,21115-NZ,NZD,Freightliner M1 + Engine (Detroit),Freightliner M1 + Engine (Detroit),a0B9r000001UQPVEA4,Freightliner,21115-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7GAAU,21116-NZ,NZD,Freightliner M1 + M2 Service,Freightliner M1 + M2 Service,a0B9r000001UQPVEA4,Freightliner,21116-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7HAAU,21117-NZ,NZD,Freightliner M1 + M2 + M3 Service,Freightliner M1 + M2 + M3 Service,a0B9r000001UQPVEA4,Freightliner,21117-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7IAAU,21154-NZ,NZD,PM Coolant Hoses,PM Coolant Hoses,a0B9r000001UQPVEA4,Freightliner,21154-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7JAAU,21156-NZ,NZD,PM Belts & Tensioners,PM Belts & Tensioners,a0B9r000001UQPVEA4,Freightliner,21156-NZ-901-AU-TOC-Local-Damage-Code
a189r0000031L7KAAU,21157-NZ,NZD,PM Fan Hub/Clutch,PM Fan Hub/Clutch,a0B9r000001UQPVEA4,Freightliner,21157-NZ-901-AU-TOC-Local-Damage-Code
